# Ag optical constants, transcribed from Table I (Silver column) of
# P. B. Johnson and R. W. Christy, "Optical Constants of the Noble Metals",
# Phys. Rev. B 6, 4370 (1972), p. 4374.
# Vacuum-evaporated films on fused quartz, room temperature.
# delta_n / delta_k are the paper's stated error columns.
photon_energy_eV,n,k,delta_n,delta_k
0.64,0.24,14.08,0.18,0.65
0.77,0.15,11.85,0.08,0.30
0.89,0.13,10.10,0.06,0.17
1.02,0.09,8.828,0.04,0.10
1.14,0.04,7.795,0.03,0.07
1.26,0.04,6.992,0.02,0.05
1.39,0.04,6.312,0.02,0.03
1.51,0.04,5.727,0.02,0.025
1.64,0.03,5.242,0.02,0.015
1.76,0.04,4.838,0.02,0.010
1.88,0.05,4.483,0.02,0.007
2.01,0.06,4.152,0.02,0.007
2.13,0.05,3.858,0.02,0.007
2.26,0.06,3.586,0.02,0.007
2.38,0.05,3.324,0.02,0.007
2.50,0.05,3.093,0.02,0.007
2.63,0.05,2.869,0.02,0.007
2.75,0.04,2.657,0.02,0.007
2.88,0.04,2.462,0.02,0.007
3.00,0.05,2.275,0.02,0.007
3.12,0.05,2.070,0.02,0.007
3.25,0.05,1.864,0.02,0.007
3.37,0.07,1.657,0.02,0.007
3.50,0.10,1.419,0.02,0.007
3.62,0.14,1.142,0.02,0.007
3.74,0.17,0.829,0.02,0.007
3.87,0.81,0.392,0.02,0.007
3.99,1.13,0.616,0.02,0.007
4.12,1.34,0.964,0.02,0.007
4.24,1.39,1.161,0.02,0.007
4.36,1.41,1.264,0.02,0.007
4.49,1.41,1.331,0.02,0.007
4.61,1.38,1.372,0.02,0.007
4.74,1.35,1.387,0.02,0.007
4.86,1.33,1.393,0.02,0.007
4.98,1.31,1.389,0.02,0.007
5.11,1.30,1.378,0.02,0.007
5.23,1.28,1.367,0.02,0.007
5.36,1.28,1.357,0.02,0.007
5.48,1.26,1.344,0.02,0.007
5.60,1.25,1.342,0.02,0.007
5.73,1.22,1.336,0.02,0.007
5.85,1.20,1.325,0.02,0.007
5.98,1.18,1.312,0.02,0.007
6.10,1.15,1.296,0.02,0.007
6.22,1.14,1.277,0.02,0.007
6.35,1.12,1.255,0.02,0.007
6.47,1.10,1.232,0.02,0.007
6.60,1.07,1.212,0.02,0.007
