# Fused silica (SiO2) refractive index, transcribed from Table I of
# I. H. Malitson, "Interspecimen Comparison of the Refractive Index of Fused Silica",
# J. Opt. Soc. Am. 55, 1205 (1965), p. 1206.
# 60 wavelengths, 0.21-3.71 um, prism minimum-deviation method at 20 degC.
#
# n_computed is the paper's own column, i.e. Eq. (1) (three-term Sellmeier).
# The residual columns are (measured - computed) x 1e6 for the arithmetical-mean
# table (C-D-G.E.) and for one specimen from each of the three manufacturers.
# Measured index of any column = n_computed + residual * 1e-6.
#
# Transcription verified two ways:
#   n_computed vs Eq. (1)          max deviation 0.8e-6 (rounding only)
#   mean |residual| per column     10.5 / 11.85 / 12.2 / 11.7
#                                  paper states 10.5 / 11.9 / 12.2 / 11.7
wavelength_um,spectral_source,n_computed,residual_CDGE_1e6,residual_Corning_1e6,residual_Dynasil_1e6,residual_GE_1e6
0.213856,Zn,1.534307,-27,-29,-42,-31
0.214438,Cd,1.533722,-2,-11,-21,-22
0.226747,Cd,1.522750,70,71,68,73
0.230209,Hg,1.520081,-21,-28,-31,-23
0.237833,Hg,1.514729,1,13,23,19
0.239938,Hg,1.513367,3,6,2,9
0.248272,Hg,1.508398,2,6,-1,7
0.265204,Hg,1.500029,-29,-32,-25,-13
0.269885,Hg,1.498047,3,7,-4,11
0.275278,Hg,1.495913,-3,2,8,12
0.280347,Hg,1.494039,1,-4,-9,-11
0.289360,Hg,1.490990,20,18,22,20
0.296728,Hg,1.488734,-14,-7,-12,-4
0.302150,Hg,1.487194,-4,-9,-2,4
0.330259,Zn,1.480539,-9,1,10,3
0.334148,Hg,1.479763,-3,-8,-1,9
0.340365,Cd,1.478584,6,9,2,-8
0.346620,Cd,1.477468,2,-17,-12,-14
0.361051,Cd,1.475129,1,3,-9,-8
0.365015,Hg,1.474539,-19,-11,-15,-21
0.404656,Hg,1.469618,2,1,-1,2
0.435835,Hg,1.466693,-3,5,1,3
0.467816,Cd,1.464292,8,5,3,6
0.486133,H,1.463126,4,6,5,7
0.508582,Cd,1.461863,7,4,1,5
0.546074,Hg,1.460078,2,4,1,-5
0.576959,Hg,1.458846,4,5,3,4
0.579065,Hg,1.458769,1,6,6,6
0.587561,He,1.458464,6,3,-2,1
0.589262,Na,1.458404,-4,6,3,7
0.643847,Cd,1.456704,6,9,4,7
0.656272,H,1.456367,3,7,5,7
0.667815,He,1.456067,3,8,6,3
0.706519,He,1.455145,5,10,12,7
0.852111,Cs,1.452465,5,8,3,5
0.894350,Cs,1.451835,5,11,5,10
1.01398,Hg,1.450242,8,6,3,6
1.08297,He,1.449405,-5,8,1,9
1.12866,Hg,1.448869,1,7,8,9
1.3622,Hg,1.446212,-12,-6,-14,-12
1.39506,Hg,1.445836,4,-1,4,-3
1.4695,Cs,1.444975,-5,3,9,10
1.52952,Hg,1.444268,2,8,6,0
1.6606,TCB,1.442670,-20,-14,-19,-11
1.681,Poly,1.442414,6,-2,-10,8
1.6932,Hg,1.442260,0,7,-6,1
1.70913,Hg,1.442057,3,0,3,-1
1.81307,Hg,1.440699,21,-7,-7,6
1.97009,Hg,1.438519,1,6,12,12
2.0581,He,1.437224,-4,-3,-9,-11
2.1526,TCB,1.435769,-29,-22,-25,-24
2.32542,Hg,1.432928,-18,-10,-3,-6
2.4374,TCB,1.430954,-24,-23,-21,-14
3.2439,Poly,1.413118,32,21,29,25
3.2668,Poly,1.412505,25,20,30,25
3.3026,Poly,1.411535,25,32,30,28
3.422,Poly,1.408180,20,40,42,37
3.5070,Poly,1.405676,-16,-26,-20,-10
3.5564,TCB,1.404174,-24,-27,-29,-18
3.7067,TCB,1.399389,-19,-22,-14,-9
